City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Invercargill,-46.4,168.35,18.2,67,76,9.25,NZ,1702613684
80,St. John'S,47.5649,-52.7093,-5.18,73,35,2.68,CA,1702613552
81,Kantabanji,20.4833,82.9167,20.67,56,2,1.96,IN,1702613730
82,Thompson,55.7435,-97.8558,0.09,55,20,6.69,CA,1702613664
83,Al Qunaytirah,33.1259,35.8246,8.24,72,29,1.7,SY,1702613730
84,Ust'-Uda,54.1742,103.0304,-25.02,93,100,1.13,RU,1702613731
85,Sesimbra,38.4445,-9.1015,11.03,73,19,4.69,PT,1702613731
86,Yatou,37.15,122.3833,-0.97,81,100,10.64,CN,1702613455
87,Brookings,44.3114,-96.7984,5.1,77,40,5.66,US,1702613201
88,Taoudenni,22.6783,-3.9836,17.63,21,0,4.83,ML,1702613686
89,Ad Dabbah,18.05,30.95,16.23,41,55,3.97,SD,1702613732
90,Flying Fish Cove,-10.4217,105.6791,28.82,61,97,3.09,CX,1702613732
91,Syumsi,57.1111,51.6149,-11.99,83,100,3.38,RU,1702613733
92,Biryusinsk,55.9634,97.8235,-19.16,90,100,2.96,RU,1702613733
93,Coyhaique,-45.5752,-72.0662,8.97,76,75,2.57,CL,1702613733
94,Nova Sintra,14.8667,-24.7167,22.03,78,100,4.01,CV,1702613633
95,Hermanus,-34.4187,19.2345,15.26,74,1,3.73,ZA,1702613499
96,Iqaluit,63.7506,-68.5145,-14.15,71,75,8.23,CA,1702613677
97,Alice Springs,-23.7,133.8833,35.75,16,34,8.23,AU,1702613657
98,Holualoa,19.6228,-155.9522,22.65,78,20,13.38,US,1702613734
99,Bethel,41.3712,-73.414,2.58,67,0,0.45,US,1702613580
100,Rampur,28.8167,79.0333,16.57,28,13,1.75,IN,1702613734
101,Mount Gambier,-37.8333,140.7667,18.79,44,39,5.81,AU,1702613732
102,Olonkinbyen,70.9221,-8.7187,-1.54,81,98,9.82,SJ,1702613606
103,Iskateley,67.6803,53.1512,-20.55,97,80,3.58,RU,1702613337
104,Mhamid,29.82,-5.72,12.09,24,0,3.55,MA,1702613735
105,Okhotsk,59.3833,143.3,-17.95,87,100,8.77,RU,1702613736
106,Quellon,-43.1167,-73.6167,11.17,92,100,7.35,CL,1702613736
